,Type,s_word,s_word_rate,word,year
87,Yearly_Comparision,health,0.6950328946113586,food,2002.0
88,Yearly_Comparision,minibar,0.6865354776382446,food,2002.0
89,Yearly_Comparision,horrible,0.6656972169876099,food,2002.0
90,Yearly_Comparision,area,0.9897921085357666,food,2003.0
91,Yearly_Comparision,reasonable,0.9889988899230957,food,2003.0
92,Yearly_Comparision,outstanding,0.9877713322639465,food,2003.0
93,Yearly_Comparision,bar,0.9855780601501465,food,2003.0
94,Yearly_Comparision,itself,0.9850158095359802,food,2003.0
95,Yearly_Comparision,contemporary,0.9845549464225769,food,2003.0
96,Yearly_Comparision,atmosphere,0.9845156669616699,food,2003.0
97,Yearly_Comparision,shape,0.9840587377548218,food,2003.0
98,Yearly_Comparision,relaxed,0.9839124083518982,food,2003.0
99,Yearly_Comparision,surprisingly,0.9838219881057739,food,2003.0
100,Yearly_Comparision,outstanding,0.9908643960952759,food,2004.0
101,Yearly_Comparision,atmosphere,0.989071249961853,food,2004.0
102,Yearly_Comparision,bar,0.9875823855400085,food,2004.0
103,Yearly_Comparision,condition,0.9872201681137085,food,2004.0
104,Yearly_Comparision,useful,0.9862799644470215,food,2004.0
105,Yearly_Comparision,breakfasts,0.9853456616401672,food,2004.0
106,Yearly_Comparision,decor,0.9831690788269043,food,2004.0
107,Yearly_Comparision,incredibly,0.9824731349945068,food,2004.0
108,Yearly_Comparision,itself,0.9823505282402039,food,2004.0
109,Yearly_Comparision,quality,0.9820415377616882,food,2004.0
110,Yearly_Comparision,area,0.9870833158493042,food,2005.0
111,Yearly_Comparision,atmosphere,0.985340416431427,food,2005.0
112,Yearly_Comparision,beautiful,0.9849802255630493,food,2005.0
113,Yearly_Comparision,lobby,0.9842678308486938,food,2005.0
114,Yearly_Comparision,restuarant,0.9831186532974243,food,2005.0
115,Yearly_Comparision,pool,0.9825155735015869,food,2005.0
116,Yearly_Comparision,decor,0.9817861318588257,food,2005.0
117,Yearly_Comparision,situated,0.9792007207870483,food,2005.0
118,Yearly_Comparision,reasonably,0.9791672229766846,food,2005.0
119,Yearly_Comparision,news,0.9790676832199097,food,2005.0
120,Yearly_Comparision,quality,0.9822888970375061,food,2006.0
121,Yearly_Comparision,itself,0.978823184967041,food,2006.0
122,Yearly_Comparision,terrific,0.9778755903244019,food,2006.0
123,Yearly_Comparision,bar,0.9776580333709717,food,2006.0
124,Yearly_Comparision,area,0.9773792624473572,food,2006.0
125,Yearly_Comparision,restaurant,0.9766733646392822,food,2006.0
126,Yearly_Comparision,industrial,0.974801778793335,food,2006.0
127,Yearly_Comparision,chic,0.9747708439826965,food,2006.0
128,Yearly_Comparision,reasonably,0.9747136831283569,food,2006.0
129,Yearly_Comparision,gym,0.9702519178390503,food,2006.0
130,Yearly_Comparision,decor,0.9863276481628418,food,2007.0
131,Yearly_Comparision,itself,0.9791767001152039,food,2007.0
132,Yearly_Comparision,relatively,0.9786640405654907,food,2007.0
133,Yearly_Comparision,service,0.9782049059867859,food,2007.0
134,Yearly_Comparision,pricey,0.9780039191246033,food,2007.0
135,Yearly_Comparision,atmosphere,0.9779030084609985,food,2007.0
136,Yearly_Comparision,pool,0.9769095778465271,food,2007.0
137,Yearly_Comparision,incredibly,0.9767829179763794,food,2007.0
138,Yearly_Comparision,bar,0.9753579497337341,food,2007.0
139,Yearly_Comparision,safe,0.9731917381286621,food,2007.0
140,Yearly_Comparision,pool,0.9870334267616272,food,2008.0
141,Yearly_Comparision,restaurant,0.9853088855743408,food,2008.0
142,Yearly_Comparision,quality,0.9833934307098389,food,2008.0
143,Yearly_Comparision,cleanliness,0.9813438653945923,food,2008.0
144,Yearly_Comparision,bar,0.9808175563812256,food,2008.0
145,Yearly_Comparision,area,0.9796749353408813,food,2008.0
146,Yearly_Comparision,decor,0.979674220085144,food,2008.0
147,Yearly_Comparision,buffet,0.9791448712348938,food,2008.0
148,Yearly_Comparision,reasonably,0.9788389205932617,food,2008.0
149,Yearly_Comparision,impressive,0.9772152900695801,food,2008.0
150,Yearly_Comparision,itself,0.9802129864692688,food,2009.0
151,Yearly_Comparision,ambience,0.9770981073379517,food,2009.0
152,Yearly_Comparision,quality,0.9753183722496033,food,2009.0
153,Yearly_Comparision,amazing,0.9748998284339905,food,2009.0
154,Yearly_Comparision,necessities,0.9740206003189087,food,2009.0
155,Yearly_Comparision,superb,0.9679080247879028,food,2009.0
156,Yearly_Comparision,complex,0.9678120017051697,food,2009.0
157,Yearly_Comparision,selection,0.9675593972206116,food,2009.0
158,Yearly_Comparision,fantastic,0.9671871066093445,food,2009.0
159,Yearly_Comparision,neat,0.9670014381408691,food,2009.0
160,Yearly_Comparision,party,0.9966205358505249,flight,2003.0
161,Yearly_Comparision,process,0.9954434633255005,flight,2003.0
162,Yearly_Comparision,held,0.9952338933944702,flight,2003.0
163,Yearly_Comparision,alarm,0.9951086044311523,flight,2003.0
164,Yearly_Comparision,dinner,0.9946747422218323,flight,2003.0
165,Yearly_Comparision,fire,0.9946466684341431,flight,2003.0
166,Yearly_Comparision,finding,0.9945924282073975,flight,2003.0
167,Yearly_Comparision,clock,0.9944144487380981,flight,2003.0
168,Yearly_Comparision,finished,0.9943545460700989,flight,2003.0
169,Yearly_Comparision,trash,0.9939502477645874,flight,2003.0
170,Yearly_Comparision,sunday,0.9943743944168091,flight,2004.0
171,Yearly_Comparision,friday,0.9922323226928711,flight,2004.0
172,Yearly_Comparision,ahead,0.991453230381012,flight,2004.0
173,Yearly_Comparision,passes,0.9912580251693726,flight,2004.0
174,Yearly_Comparision,early,0.9911479949951172,flight,2004.0
175,Yearly_Comparision,26th,0.9910067319869995,flight,2004.0
176,Yearly_Comparision,myself,0.9909306168556213,flight,2004.0
177,Yearly_Comparision,late,0.990832507610321,flight,2004.0
178,Yearly_Comparision,midnight,0.9907543063163757,flight,2004.0
179,Yearly_Comparision,daughters,0.9906556606292725,flight,2004.0
180,Yearly_Comparision,remaining,0.9930804967880249,flight,2005.0
181,Yearly_Comparision,second,0.992851734161377,flight,2005.0
